Specified year (2016)
Total Tracks Unique Artists Unique albums Unique Tracks
   12747           334           377          3490
 261: (   2) - Teenage Fanclub
 262: (   2) - Ryley Walker
 263: (   2) - De La Soul
 264: (   2) - Lydia Loveless
 265: (   2) - Wild Beasts
 266: (   2) - Hans Chew
 267: (   2) - Dinosaur Jr.
 268: (   2) - Cass McCombs
 269: (   2) - Scott Hirsch
 270: (   2) - Morgan Delt
 271: (   2) - Judy Henske & Jerry Yester
 272: (   2) - Cool Ghouls
 273: (   2) - Anna Meredith
 274: (   2) - Spizz Energi
 275: (   2) - Tom House
 276: (   2) - Lambchop
 277: (   2) - Slade
 278: (   2) - Wham!
 279: (   2) - Cage the Elephant
 280: (   1) - The Turtles
 281: (   1) - The Staple Singers
 282: (   1) - China Crisis
 283: (   1) - Native Hipsters
 284: (   1) - The Teardrop Explodes
 285: (   1) - John Cooper Clarke
 286: (   1) - Mogwai
 287: (   1) - Kononon°1
 288: (   1) - Tim Hecker
 289: (   1) - Soft Cell
 290: (   1) - Suzi Quatro
 291: (   1) - Japan
 292: (   1) - The Chameleons
 293: (   1) - Marvin Gaye
 294: (   1) - Shania Twain
 295: (   1) - Chip & Carrie
 296: (   1) - Sleaford Mods
 297: (   1) - Kort
 298: (   1) - William Tyler
 299: (   1) - Tiny Ruins
 300: (   1) - Shabazz Palaces
 301: (   1) - Dump
 302: (   1) - Richard Buckner
 303: (   1) - Yolo Tengo
 304: (   1) - Can
 305: (   1) - Christie
 306: (   1) - George McCrae
 307: (   1) - Pilot
 308: (   1) - John Denver
 309: (   1) - Steve Harley & Cockney Rebel
 310: (   1) - Brotherhood of Man
 311: (   1) - Bay City Rollers
 312: (   1) - Aoife O'Donovan
 313: (   1) - Houndmouth
 314: (   1) - Fraser A. Gorman
 315: (   1) - John Fullbright
 316: (   1) - The New Basement Tapes
 317: (   1) - Sufjan Stevens
 318: (   1) - Jamestown Revival
 319: (   1) - Shakey Graves
 320: (   1) - Sharon Van Etten
 321: (   1) - Barna Howard
 322: (   1) - Frankie Goes to Hollywood
 323: (   1) - MUD
 324: (   1) - Dolly Parton
 325: (   1) - The Pogues
 326: (   1) - Stevie Nicks
 327: (   1) - Mike Oldfield
 328: (   1) - Jona Lewie
 329: (   1) - Wizzard
 330: (   1) - Paul McCartney
 331: (   1) - Nat King Cole
 332: (   1) - Frank Sinatra
 333: (   1) - George Strait
 334: (   1) - John Lennon
