2018-09-06 12:14:43	Bob Dylan	Bob Dylan	Chimes of Freedom (Live at Royal Festival Hall, London, UK - May 1964)
2018-09-06 12:22:15	Bob Dylan	Bob Dylan	One Too Many Mornings (Live at BBC Studios, London, UK - June 1965)
2018-09-06 12:26:17	Bob Dylan	Bob Dylan	It's Alright, Ma (I'm Only Bleeding) (Live at the Oval, City Hall, Sheffield, UK - April 1965)
2018-09-06 12:34:21	Bob Dylan	Bob Dylan	Love Minus Zero / No Limit (Live at the Odeon, Liverpool, UK - May 1965)
2018-09-06 12:38:20	Bob Dylan	Bob Dylan	Gates of Eden (Live at Free Trade Hall, Manchester, UK - May 1965)
2018-09-06 12:45:11	Bob Dylan	Bob Dylan	It's All Over Now, Baby Blue (Live at the Odeon, Liverpool, UK - May 1965)
2018-09-06 14:14:57	Bob Dylan	Bob Dylan	She Belongs to Me (Live at Royal Albert Hall, Manchester, UK - May 1965)
2018-09-06 14:19:17	Bob Dylan	Bob Dylan	Maggie's Farm (Live at the Hollywood Bowl, Los Angeles, CA - September 1965)
2018-09-06 14:23:37	Bob Dylan	Bob Dylan	It Takes a Lot to Laugh, It Takes a Train to Cry (Live at the Newport Folk Festival, Newport, RI - July 1965)
2018-09-06 14:27:09	Bob Dylan	Bob Dylan	Desolation Row (Live at TCN 9 TV, Sydney, Australia - April 1966)
2018-09-06 14:37:46	Bob Dylan	Bob Dylan	Baby Let Me Follow You Down (Live at the Capitol Theatre, Cardiff, UK - May 1966)
2018-09-06 14:41:24	Bob Dylan	Bob Dylan	I Don't Believe You (She Acts Like We Never Have Met) (Live at the Capitol Theatre, Cardiff, UK - May 1966)
2018-09-06 16:05:27	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Purple Haze
2018-09-06 16:08:18	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Manic Depression
2018-09-06 16:12:01	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Hey Joe
2018-09-06 16:15:31	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Love Or Confusion
2018-09-06 16:18:43	The Jimi Hendrix Experience	The Jimi Hendrix Experience	May This Be Love
2018-09-06 16:21:53	The Jimi Hendrix Experience	The Jimi Hendrix Experience	I Don't Live Today
