Specified year (2020)
Total Tracks Unique Artists Unique albums Unique Tracks
   13114           426           494          3418
 362: (   2) - Nap Eyes
 363: (   2) - Yin Yin
 364: (   2) - Middle Of The Road
 365: (   2) - Steve Harley
 366: (   2) - David Essex
 367: (   2) - Blue Öyster Cult
 368: (   2) - Mott the Hoople
 369: (   2) - Free
 370: (   2) - Gerry Rafferty
 371: (   2) - Carly Simon
 372: (   2) - Spizz Energi
 373: (   2) - Paul Haig
 374: (   2) - Tom Baird
 375: (   2) - Steve Wynn
 376: (   2) - Sharon Van Etten
 377: (   2) - Elvis Costello and The Roots
 378: (   2) - Jean Michel Jarre
 379: (   2) - John Foxx
 380: (   2) - Jackson Browne
 381: (   2) - The J. Geils Band
 382: (   2) - Billy Joel
 383: (   2) - Sex Pistols
 384: (   2) - Deep Purple
 385: (   2) - Status Quo
 386: (   2) - Karl Schaffner
 387: (   2) - Betty Davis
 388: (   2) - Roky Erickson
 389: (   2) - Definitely Dylan
 390: (   2) - Greg Mason
 391: (   2) - Shin Joong Hyun & The Men
 392: (   2) - Gigi Masin
 393: (   2) - Acetone
 394: (   2) - Jim Sullivan
 395: (   2) - Donnie & Joe Emerson
 396: (   2) - Karin Krog
 397: (   2) - Supreme Jubilees
 398: (   2) - Lee Hazlewood
 399: (   2) - Warm Sounds
 400: (   2) - Andy Forray
 401: (   2) - Hüsker Dü
 402: (   2) - AC/DC
 403: (   2) - Aswad
 404: (   2) - Adrianne Lenker
 405: (   2) - Garcia Peoples
 406: (   2) - A Certain Ratio
 407: (   2) - Diana Jones
 408: (   2) - Magik Markers
 409: (   2) - Jim White
 410: (   2) - Mary Lattimore
 411: (   2) - Hello Forever
 412: (   2) - Sufjan Stevens
 413: (   2) - Fuzz
 414: (   2) - Songhoy Blues
 415: (   2) - Andy Bell
 416: (   2) - Hen Ogledd
 417: (   2) - Cara Dillon
 418: (   2) - The End
 419: (   2) - Curiosity Shoppe
 420: (   2) - The Poets
 421: (   2) - Al Stewart
 422: (   2) - Felius Andromeda
 423: (   2) - 23rd Turnoff
 424: (   2) - The Societie
 425: (   2) - Timebox
 426: (   2) - John Cooper Clarke
